Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
325611-4784675.pdf,TREMFYA,>=18,"a. An inadequate response (to at least 3 months of treatment) or adverse reaction to ONE of the following PDL preferred agents: Enbrel, a preferred adalimumab biosimilar product (adalimumab-aacf, adalimumab-adaz, adalimumab-adbm, adalimumab-fjkp, adalimumab-ryvk) OR Humira, infliximab (generic for Remicade), Otezla, Rinvoq, Taltz, or Xeljanz; OR b. A contraindication to ALL of the following: Enbrel, adalimumab, infliximab, Otezla, Rinvoq, Taltz, AND Xeljanz; AND a. An inadequate response or adverse reaction to at least a 3 month trial of ONE biologic DMARD that is FDA-approved for plaque psoriasis; OR b. An inadequate response or adverse reaction to at least a 3 month trial of any ONE of the following combinations (please note: these combinations DO NOT have to be used concurrently): i. one topical agent plus one systemic agent; OR ii. one topical agent plus one phototherapy; OR iii. one systemic agent plus one phototherapy; OR iv. two systemic agents; OR v. a contraindication to ALL conventional therapies (topical agents, phototherapy, and systemic agents); AND",No,1,No,No,No,Dermatologist,6,12,Yes,a. The member has had a positive response to therapy; OR b. Documentation of clinical justification to continue therapy with the requested medication,75
273941-4788109.pdf,STELARA,>=6,"a. An inadequate response or adverse reaction to at least a three consecutive month trial of any one of the following combinations (please note: these combinations DO NOT have to be used concurrently): i. one topical agent plus one systemic agent; OR ii. one topical agent plus one phototherapy; OR iii. one systemic agent plus one phototherapy; OR two systemic agents; OR iv. A contraindication to all conventional therapies (topical agents, phototherapy, and systemic agents); OR b. An inadequate response or adverse reaction to at least a three consecutive month trial of one biologic DMARD that is FDA-approved for plaque psoriasis; AND a. An inadequate response or adverse reaction to at least a three consecutive month trial of Enbrel, of Humira or a preferred adalimumab biosimilar product (adalimumab-aacf, adalimumab-adaz, adalimumab-adbm, adalimumab-fjkp, adalimumab-ryvk), infliximab (generic for Remicade), Otezla, or Taltz; OR b. A contraindication to ALL of the following: Enbrel, adalimumab, infliximab (generic for Remicade), Otezla, and Taltz;",No,1,No,No,No,NA,6,12,Yes,a. The member has had a positive response to therapy; OR b. Documentation of clinical justification to continue therapy with the requested medication,100
176810-4889390.pdf,TREMFYA,Any,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin. Member has previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for the treatment of moderate to severe plaque psoriasis.",No,1,No,Yes,Plaque Psoriasis and Psoriatic Arthritis Initiation of therapy: 2 syringes/injectors per first 28 days Maintenance: 1 syringe/injector per 56 days,Dermatologist,12,12,Yes,who achieve or maintain positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when any of the following is met:,75
176806-5005129.pdf,STELARA,>=6,"For this program, Otulfi (ustekinumab-aauz) is the preferred product. Non-preferred products including Imuldosa, Pyzchiva, Selarsdi, Stelara, Steqeyma, Wezlana, and Yesintek are generally excluded from coverage. Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",1,1,No,Yes,"Ustekinumab subcutaneous injection 45 mg/0.5 mL vial/syringe | Psoriasis (6 years and older)/ Psoriasis with or without co- existent PsA (adult) • ≤ 100 kg: 2 vials/syringes per first 28 days (load); 1 vial/syringe every 12 weeks (maintenance) • > 100 kg: 2 vials/syringes per first 28 days (load); 1 vial/syringe every 12 weeks (maintenance) Ustekinumab subcutaneous injection 90 mg/mL syringe | Psoriasis (6 years and older)*/ Psoriasis with or without co- existent PsA (adult) • ≤ 100 kg: 45 mg initially and 4 weeks later, followed by 45 mg every 12 weeks • > 100 kg: 90 mg initially and 4 weeks later, followed by 90 mg every 12 weeks",Dermatologist,12,12,Yes,who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when any of the following is met:,75
313179-3560271.pdf,STELARA,>=6,"Plaque psoriasis: Preferred agents require evidence of failure after at least 90 days of topical therapy* with two different agents classified as an emollient, corticosteroid, topical retinoid or vitamin D analog. A 90-day trial of one DMARD (or a systemic retinoid such as acitretin) is also required. *Topical therapy requirement is waived for moderate-to-severe disease affecting at least 5% of the BSA or crucial body areas such as the hands, feet, face, neck, genitals/groin, or intertriginous areas. Non-preferred agents require 90-day trials of all preferred agents which are indicated for the diagnosis.",1,2,No,Yes,No,Dermatologist,Unspecified,NA,NA,NA,75
313179-3560271.pdf,TREMFYA,FDA approved age,"Plaque psoriasis: Preferred agents require evidence of failure after at least 90 days of topical therapy* with two different agents classified as an emollient, corticosteroid, topical retinoid or vitamin D analog. A 90-day trial of one DMARD (or a systemic retinoid such as acitretin) is also required. *Topical therapy requirement is waived for moderate-to-severe disease affecting at least 5% of the BSA or crucial body areas such as the hands, feet, face, neck, genitals/groin, or intertriginous areas. Non-preferred agents require 90-day trials of all preferred agents which are indicated for the diagnosis.",1,1,No,Yes,No,Dermatologist,Unspecified,NA,NA,NA,75
56263-4803097.pdf,STELARA,>=6,"Minimum duration of a 4-week trial and failure, contraindication, or intolerance to one of the following topical therapies [3]: corticosteroids (e.g., betamethasone, clobetasol) vitamin D analogs (e.g., calcitriol, calcipotriene) tazarotene calcineurin inhibitors (e.g., tacrolimus, pimecrolimus)",No,1,No,No,No,Dermatologist,6,12,Yes,"Patient demonstrates positive clinical response to therapy as evidenced by ONE of the following [1-3]: Reduction in the body surface area (BSA) involvement from baseline Improvement in symptoms (e.g., pruritus, inflammation) from baseline",75
183953-4805567.pdf,TREMFYA,>=18,"Minimum duration of a 4-week trial and failure, contraindication, or intolerance to one of the following topical therapies: corticosteroids (e.g., betamethasone, clobetasol) vitamin D analogs (e.g., calcitriol, calcipotriene) tazarotene calcineurin inhibitors (e.g., tacrolimus, pimecrolimus)",No,1,No,No,No,Dermatologist,6,12,Yes,"Patient demonstrates positive clinical response to therapy as evidenced by ONE of the following [1-3]: Reduction in the body surface area (BSA) involvement from baseline Improvement in symptoms (e.g., pruritus, inflammation) from baseline",75
365374-5059388.pdf,STELARA,Any,The member has taken two preferred cytokine and CAM antagonist drugs for at least three consecutive months each and experienced an unsatisfactory therapeutic response or experienced a clinically significant adverse drug reaction. (Note: ForwardHealth will only consider use of Cyltezo or Humira as one of the preferred cytokine and CAM antagonist drugs.),1,No,No,No,No,Dermatologist,6,12,Yes,Renewal PA requests for non-preferred cytokine and CAM antagonist drugs must include supporting clinical information and copies of the member's current medical records demonstrating that the member had a significant reduction in symptoms compared to their baseline prior to the initiation of the non-preferred cytokine and CAM antagonist drug. All renewal PA requests require the member to be adherent with the prescribed treatment regimen.,75
365374-5059388.pdf,TREMFYA,Any,The member has taken two preferred cytokine and CAM antagonist drugs for at least three consecutive months each and experienced an unsatisfactory therapeutic response or experienced a clinically significant adverse drug reaction. (Note: ForwardHealth will only consider use of Cyltezo or Humira as one of the preferred cytokine and CAM antagonist drugs.),1,No,No,No,No,Dermatologist,6,12,Yes,Renewal PA requests for non-preferred cytokine and CAM antagonist drugs must include supporting clinical information and copies of the member's current medical records demonstrating that the member had a significant reduction in symptoms compared to their baseline prior to the initiation of the non-preferred cytokine and CAM antagonist drug. All renewal PA requests require the member to be adherent with the prescribed treatment regimen.,75
56403-5061730.pdf,STELARA,Any,"Plaque Psoriasis: Client must have diagnosis and a 56-day trial and failure of two of the three preferred agents (ENBREL, HUMIRA, OTEZLA)",1,No,No,No,No,NA,Unspecified,NA,NA,NA,100
299241-4702948.pdf,STELARA,Any,"Trial and failure of ≥ 3 months of at least one (1) conventional systemic therapy, unless contraindicated or clinically significant adverse effects are experienced: Methotrexate [MTX], Cyclosporine, Acitretin, Phototherapy (psoralen plus ultraviolet A light [PUVA]). Exception: If one biologic DMARD that is FDA-approved for plaque psoriasis has been previously tried, then trial of a conventional systemic agent or phototherapy is not required;",No,1,No,No,No,NA,12,12,Yes,Member is currently receiving medication that has been authorized..,100
297411-4840622.pdf,TREMFYA,Any,"Trial and failure of ≥ 3-month of at least one (1) conventional systemic therapy (e.g., azathioprine, 6-mercaptopurine, methotrexate), unless contraindicated or clinically significant adverse effects are experienced; Trial and failure of corticosteroids (e.g., prednisone, methylprednisolone, budesonide), unless contraindicated or significant adverse effects experienced.",No,2,No,No,No,NA,12,12,Yes,Member is currently receiving medication that has been authorized.. or the member has met initial approval criteria.,100
8889-4641730.pdf,AMJEVITA,Any,"Biologics are routinely used when one or more traditional systemic agents fail to produce adequate response, but are considered first line in patients with moderate to severe psoriasis with concomitant severe PsA.",No,1,No,No,Amjevita | adalimumab-atto soln auto-injector | 40 MG/0.4 ML | 2 | Pens | 28 | DAYS Amjevita | adalimumab-atto soln auto-injector | 40 MG/0.8 ML | 2 | Pens | 28 | DAYS Amjevita | adalimumab-atto soln auto-injector | 80 MG/0.8 ML | 2 | Pens | 28 | DAYS Amjevita | adalimumab-atto soln prefilled syringe | 10 MG/0.2 ML | 2 | Syringes | 28 | DAYS Amjevita | adalimumab-atto soln prefilled syringe | 20 MG/0.2 ML | 2 | Syringes | 28 | DAYS Amjevita | adalimumab-atto soln prefilled syringe | 20 MG/0.4 ML | 2 | Syringes | 28 | DAYS Amjevita | adalimumab-atto soln prefilled syringe | 40 MG/0.4 ML | 2 | Syringes | 28 | DAYS Amjevita | adalimumab-atto soln prefilled syringe | 40 MG/0.8 ML | 2 | Syringes | 28 | DAYS,NA,12,NA,NA,NA,100
8898-4735285.pdf,COSENTYX,>=6,The individual has failed (see definition of Failure in Policy Guidelines section) previous treatment with at least ONE of the listed conventional agents; OR The individual has an FDA-labeled contraindication or hypersensitivity to ALL conventional agents; OR There is documentation that the individual is currently being treated with the requested agent (use of samples or vouchers/coupons is not approvable). Medication failure is defined as disease progression despite maximally tolerated dose (>3 consecutive months use) as appropriate for disease state being treated. Conventional Agent Prerequisites Psoriasis (PS) | Methotrexate Cyclosporine Psoralen (methoxsalen or acitretin) with UVA radiation UVB & coal tar on ditranol Acitretin Narrow Band UVB (NBUVB),No,1,No,Yes,No,Board Certified Dermatologist,12,12,Yes,"The requested agents may be approved for renewal when ALL of the following criteria are met: 2. The individual has shown clinical improvement (i.e. slowing of disease progression or decrease in symptom severity and/or frequency); 4. The individual is not currently being treated with another biologic immunomodulatory agent (i.e., TNF- inhibitor, IL-inhibitor, anti IgE antibody, etc.) or Otezla; AND",75
9023-4381765.pdf,ENBREL,>=4,"NOTE: An exception to the requirement for a trial of one traditional systemic agent for psoriasis can be made if the patient has already has a 3-month trial or previous intolerance to at least one biologic (e.g., Cosentyx® [secukinumab SC injection], an adalimumab product [e.g., Humira], an infliximab product [e.g., Remicade, Renflexis, Inflectra], Siliq [brodalumab SC injection], Stelara® [ustekinumab SC injection], Taltz® [ixekizumab SC injection], or Tremfya [guselkumab SC injection]). These patients who have already tried a biologic for psoriasis are not required to “step back” and try a traditional systemic agent for psoriasis); OR ii. The patient experienced an intolerance to a trial of at least one oral or biologic therapy for plaque psoriasis (e.g., MTX, cyclosporine, Soriatane, Humira, Remicade, or Stelara); OR iii. The patient has a contraindication to one oral agent for psoriasis such as MTX, as determined by the prescribing physician;",No,1,No,No,No,Dermatologist,3,12,Yes,"Applies if the patient has had a response, as determined by the prescriber. The patient may not have a full response, but there should have been a recent or past response to Enbrel.",75
9026-4997564.pdf,REMICADE,>=18,"Patient must try and have an inadequate response, contraindication, or intolerance to a 3-month trial of AVSOLA AND INFLECTRA; Patient did not respond adequately (or is not a candidate) to a 4-week minimum trial of topical agents (i.e., anthralin, coal tar preparations, corticosteroids, emollients, immunosuppressives, keratolytics, tapinarof, roflumilast, retinoic acid derivatives, and/or vitamin D analogues); Patient did not respond adequately (or is not a candidate) to a 3-month minimum trial of at least one non-biologic systemic agent (i.e., immunosuppressives, retinoic acid derivatives, and/or methotrexate); Patient did not respond adequately (or is not a candidate**) to a 3-month minimum trial of phototherapy (i.e., psoralens with UVA light [PUVA] or UVB with coal tar or dithranol)",1,2,Yes,Yes,"60 billing units at weeks 0, 2, 6 then 60 billing units every 56 days",NA,6,12,Yes,"Patient continues to meet the universal and other indication-specific relevant criteria identified in section III; AND Duration of authorization has not been exceeded (refer to Section I); AND Absence of unacceptable toxicity from the drug. Examples of unacceptable toxicity include: severe hypersensitivity reactions, malignancy (e.g., lymphoma including hepatosplenic T-cell lymphoma, skin cancers, cervical cancer, etc.), significant hematologic abnormalities (e.g., leukopenia, neutropenia, thrombocytopenia, pancytopenia), serious infections (e.g., TB, serious fungal infections, HBV reactivation, etc.), cardiovascular and cerebrovascular accidents, heart failure, neurotoxicity/demyelinating disorders, hepatotoxicity, lupus-like syndrome, etc.",50
55182-4590747.pdf,SILIQ,Any,"C. The patient has a diagnosis of moderate to severe plaque psoriasis (PS) AND ONE of the following: 1. The patient has tried and had an inadequate response to ONE conventional agent (i.e., acitretin, anthralin, calcipotriene, calcitriol, coal tar products, cyclosporine, methotrexate, pimecrolimus, PUVA [phototherapy], tacrolimus, tazarotene, topical corticosteroids) used in the treatment of PS after at least a 3-month duration of therapy OR 2. The patient has an intolerance or hypersensitivity to ONE conventional agent used in the treatment of PS OR 3. The patient has an FDA labeled contraindication to ALL conventional agents used in the treatment of PS",No,1,No,Yes,No,Dermatologist,4,Unspecified,Yes,Unspecified,75
66156-4274314.pdf,CIMZIA,Any,No,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
163262-4627017.pdf,BIMZELX,>=18,"c. The member meets one (1) of the following criteria (i., ii., or iii.): i. The member has experienced therapeutic failure or intolerance to phototherapy (e.g. PUVA, UVB). ii. The member has experienced therapeutic failure or intolerance to at least one (1) systemic therapy (e.g., methotrexate). iii. The member is contraindicated to both phototherapy and systemic therapy. d. The member has experienced therapeutic failure or intolerance to at least two (2) preferred biologic products for the treatment of PsO (see Table 1).",1,1,No,No,Diagnosis Induction Therapy Maintenance Therapy PsO (< 120 kg)1 Ten (10) autoinjectors/prefilled syringes within the first sixteen (16) weeks of therapy Two (2) autoinjectors/prefilled syringes every eight (8) weeks PsO (≥ 120 kg)1 Ten (10) autoinjectors/prefilled syringes within the first sixteen (16) weeks of therapy Two (2) autoinjectors/prefilled syringes every four (4) weeks -OR- Two (2) autoinjectors/prefilled syringes every eight (8) weeks,NA,Unspecified,NA,NA,NA,75
195158-4643510.pdf,SKYRIZI,Any,"patient has experienced an inadequate treatment response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin",No,1,No,No,No,NA,12,12,Yes,Unspecified,100
195239-4641478.pdf,OTEZLA,>=18,No,No,No,No,No,No,Dermatologist; Rheumatologist,12,12,Yes,must have documentation from prescriber indicating stabilization or improvement in condition.,75
203402-5001149.pdf,YESINTEK,>=6,"for PsO, allowed phototherapy as alternative to systemic conventional DMARD if contraindicated or clinically significant adverse effects are experienced",No,1,No,No,No,NA,6,NA,NA,NA,100
247339-4770410.pdf,OTULFI,>=6,"revised redirection for AS, PsA, PsO, and RA to require ALL among the list of preferred products; for PsO, added redirection to Enbrel and Otezla as alternative option with “or” instead of “and” language to list of preferred redirected agents.",1,No,No,No,90 mg every 12 weeks,NA,Unspecified,Unspecified,Yes,Unspecified,75
269830-4591538.pdf,ENBREL,Any,No,No,No,No,No,No,NA,Unspecified,12,Yes,if the patient meets the standard Inflammatory Conditions – Enbrel Prior Authorization Policy criteria.,100
270625-4631548.pdf,ILUMYA,>=18,"When a benefit, coverage of Ilumya may be approved when all of the following criteria are met (a. through e.): a. The member is 18 years of age or older. b. The member has a diagnosis of moderate to severe PsO. c. The medication is prescribed by or in consultation with a dermatologist. d. The member meets one (1) of the following criteria (i., ii., or iii.): i. The member has experienced therapeutic failure or intolerance to phototherapy (e.g., PUVA, UVB). ii. The member has experienced therapeutic failure or intolerance to at least one (1) systemic therapy (e.g., methotrexate). iii. The member is contraindicated to both phototherapy and systemic therapy. e. The member has experienced therapeutic failure or intolerance to at least two (2) step 1 or 2 plan-preferred agents for the treatment of PsO (see Table 1).",1,1,No,No,No,Dermatologist,Unspecified,Unspecified,Yes,"When a benefit, reauthorization of Ilumya may be approved when the following criterion is met (1.):",75
283789-5060638.pdf,ENBREL,>=4,No,No,No,No,No,No,NA,12,NA,NA,NA,100
287728-4459856.pdf,STELARA,Any,No,No,No,No,No,No,NA,Unspecified,12,Yes,"For any ongoing authorization, clinical documentation (including, but not limited to chart notes) must be provided to confirm that current medical necessity criteria are met, and that the medication is providing clinical benefit, such as disease stability or improvement.",100
308650-4595103.pdf,ACITRETIN,Any,"Patient is unresponsive to at least 2 conventional therapies (topical corticosteroids, vitamin D analogs, Tazorac, topical tacrolimus, Elidel, phototherapy).",No,1,No,No,No,NA,Unspecified,NA,NA,NA,100
315085-4653251.pdf,OTEZLA,FDA approved age,"Use of ONE conventional prerequisite agent is required for diagnoses of psoriatic arthritis or plaque psoriasis. Formulary conventional agents (topical or systemic) for plaque psoriasis include acitretin, calcipotriene, methotrexate, tazarotene, or topical corticosteroids. Patient has tried and had an inadequate response to at least ONE conventional prerequisite agent for the requested indication OR Patient has an intolerance or hypersensitivity to at least ONE conventional prerequisite agent for the requested indication OR Patient has an FDA labeled contraindication to at least ONE conventional prerequisite agent for the requested indication",No,1,No,No,No,NA,Unspecified,Unspecified,Yes,Unspecified,100
326557-4901234.pdf,AMJEVITA,Any,No,No,No,No,No,2 Pens/Syringes for 28 DAYS,NA,12,Unspecified,Yes,Unspecified,100
330107-4979411.pdf,YESINTEK,>=6,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",No,1,No,Yes,• Yesintek (ustekinumab-kfce) 130 mg/26 mL single-dose vial o 4 vials (1 dose) • Yesintek (ustekinumab-kfce) subcutaneous injection 45 mg/0.5 mL single-dose vial/prefilled syringe o 1 vial/syringe per 84 days o Exception limit: 2 vials/syringes per 28 days • Yesintek (ustekinumab-kfce) subcutaneous injection 90 mg/mL prefilled syringe o 1 syringe per 56 days o Exception limit: 2 syringes per 28 days,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: • Reduction in body surface area (BSA) affected from baseline • Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain). Chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.",75
361202-4967201.pdf,TREMFYA,>=18,No,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
377585-4984547.pdf,STELARA,>=6,"Documentation of moderate to severe chronic plaque psoriasis OR involvement of the palms, soles of feet and scalp, with an inadequate response, intolerance or contraindication with TWO of the following therapies: Enbrel, Humira, Otezla, Skyrizi.",1,No,No,No,No,Dermatologist,6,12,Yes,Extensions requests will be approved up to 12 months if the member has a continued benefit to therapy. Extension requests where the ustekinumab did not have the full desired effect or considered a clinical failure will require clinical rationale for continuing.,75
